id,name,age,blood,ss,allergy,ailments,medications
38,Emma Alexson,69,AB+,310-55-0455,Grass,{2;1;9},{5;4;1}
39,Sofia Emmason,80,B+,791-00-8484,Tree nuts,{6},{4}
40,Aiden Chloeson,80,O+,894-45-9837,Milk,{4;7},{3;1;4;6}
41,Jacob Amandason,90,B+,272-07-1823,Grass,{13;11;2},{1;6}
42,Ben Emmason,99,A+,458-51-6399,Fish,{2;1},{2;3}
43,Maya Isabellason,77,A-,407-93-6609,n/a,{7;13;5},{7}
44,Camille Lucasson,10,O-,107-28-9503,Eggs,{},{6}
45,Emily Carterson,71,O+,010-28-4460,n/a,{1;12;5},{6;1;7;4}
46,Logan Liamson,65,O+,349-97-2157,Milk,{},{}
47,Emily Andreason,43,A+,008-51-1470,Tree nuts,{2;12},{1;4;3;7}
48,Logan Sofiason,84,B-,390-08-7609,Pollen,{9;13},{8}
49,Lucas Isabellason,36,AB+,540-57-7766,Wheat,{},{}
50,Ethan Sofiason,60,AB-,161-28-9970,Peanuts,{9},{2;7;6}
51,Ethan Liamson,25,O-,956-60-0933,Mold,{6},{3;6;1}
52,Logan Lucasson,48,AB-,910-14-9465,n/a,{12;3},{6;7;1}
53,Emma Carterson,19,AB+,273-09-6285,n/a,{5},{7}
54,Noah Carterson,72,A+,828-65-3322,Shellfish,{},{1}
55,Andrea Masonson,59,AB+,498-60-9500,Dust,{},{6;5;4}
56,Noah Lucasson,18,A+,173-40-5365,Tree nuts,{},{}
57,Ava Amandason,29,A+,161-27-3068,Wheat,{9},{8}
58,Lucas Emmason,51,B+,230-01-4857,Soy,{3;7;5},{6}
59,Ava Loganson,92,O+,218-35-4495,Milk,{8;5;2},{2;4;8;1}
60,Sofia Sofiason,73,B+,676-11-2257,Peanuts,{11;8;12},{}
61,Carter Isabellason,17,AB+,520-76-4535,Tree nuts,{13},{2;3;8}
62,Aiden Alexson,97,AB+,333-93-8019,Eggs,{13},{}
63,Isabella Ethanson,13,O+,053-77-8904,Mold,{},{}
64,Lucas Benson,70,AB-,664-90-6597,Soy,{7;9;12},{}
65,Noah Jaydenson,14,AB-,251-05-7061,Shellfish,{},{}
66,Jackson Loganson,90,O-,923-18-0694,Wheat,{3},{}
67,Ethan Benson,25,A-,381-35-9612,Pollen,{11;6;13},{}
68,Chloe Mayason,87,A-,043-71-7189,Dust,{},{}
69,Isabella Loganson,42,AB-,102-15-8076,n/a,{},{3;8;2;1}
70,Jackson Andreason,24,O-,415-20-0186,Shellfish,{},{}
71,Noah Loganson,44,B-,726-35-1841,Shellfish,{11},{1;8;2;7}
72,Chloe Loganson,36,B-,242-27-7290,Mold,{12;4},{}
73,Jackson Chloeson,20,AB-,707-22-4406,Fish,{8;10;12},{3;7}
74,Jackson Alexson,52,B+,785-16-0176,Dust,{4;10;13},{3;4}
75,Isabella Lucasson,73,O-,429-15-8555,Tree nuts,{},{}
76,Logan Carterson,25,A-,500-96-3488,Mold,{},{}
77,Olivia Sofiason,97,B+,290-94-9153,Shellfish,{6;4;2},{4;6;2;3}
78,Jack Jaydenson,73,O+,639-90-6299,n/a,{5;4;12},{8;4}
79,Sofia Emmason,26,AB-,974-88-4199,Milk,{5;2;6},{3;8}
80,Jayden Jacobson,76,B-,233-58-9187,n/a,{8},{7;2}
81,Chloe Isabellason,12,B+,001-02-5198,Pollen,{12},{1;6;2}
82,Carter Oliviason,30,B-,512-41-3206,Wheat,{5},{2;6;5;4}
83,Logan Jacobson,96,B-,944-80-2183,Weeds,{3;13;1},{6;1;8}
84,Mason Loganson,22,AB-,715-86-3401,Grass,{},{}
85,Noah Avason,99,B+,281-19-3935,Soy,{4;12},{}
86,Jacob Avason,87,O+,259-98-1653,Wheat,{8;3},{5}
87,Logan Victoriason,81,A+,083-13-8193,Milk,{1;13;11},{}
88,Emma Jacksonson,41,AB+,491-43-4167,n/a,{4},{1;4;5;7}
89,Ben Carterson,46,AB+,238-54-0034,Milk,{3;8;9},{}
90,Andrea Camilleson,55,B+,726-90-5448,Dust,{2;12},{5;2}
91,Jayden Camilleson,34,AB-,503-86-9614,Pollen,{12;4;9},{2}
92,Ethan Avason,88,AB-,163-05-5709,Grass,{13;6},{1;7;6}
93,Emily Alexson,79,O-,017-14-8849,Tree nuts,{},{6}
94,Andrea Chloeson,82,AB+,399-29-6012,Wheat,{8;3;10},{7;6}
95,Noah Jacobson,25,B-,652-82-1770,Dust,{},{1;7}
96,Aiden Amandason,27,AB-,419-21-7302,Pollen,{13;8;7},{4;1;5}
97,Ava Sofiason,55,AB+,433-85-4660,Milk,{9;7;5},{6;5;1;8}
98,Andrea Emmason,34,O+,163-12-0899,Shellfish,{},{2;5}
99,Lucas Carterson,60,AB+,213-55-4311,Peanuts,{13},{6;7;1;8}
100,Amanda Camilleson,94,B+,055-68-6124,Milk,{},{7;6;3;5}
101,Jayden Lucasson,40,O+,106-00-9062,n/a,{8;2;7},{4;1}
102,Ethan Loganson,94,AB+,732-12-1177,Shellfish,{11;6;3},{5}
103,Isabella Lucasson,16,A+,849-25-4242,Wheat,{11},{}
104,Emma Amandason,24,B+,112-69-5310,Weeds,{11;5},{7;2}
105,Ethan Amandason,79,O+,596-57-2415,n/a,{1;4},{7;4}
106,Ava Mayason,91,A+,310-77-9386,Wheat,{8},{4;2;6}
107,Logan Sofiason,76,A+,711-04-3767,Soy,{},{3;8;2;5}
108,Sofia Mayason,50,O-,200-69-8568,Tree nuts,{3;6},{1}
109,Jacob Jaydenson,101,AB-,653-04-8039,Grass,{7},{2;6}
110,Emily Lucasson,20,B+,118-72-0077,Grass,{11;9},{}
111,Logan Sofiason,65,A+,995-83-6218,Eggs,{4},{5;4;2;8}
112,Mason Oliviason,15,B-,428-21-6509,Wheat,{6;12},{2;7;4}
113,Logan Victoriason,54,B+,210-77-1398,Milk,{},{3;8}
114,Victoria Lucasson,71,AB-,833-92-2710,Soy,{2},{6}
115,Lucas Amandason,100,O+,585-62-9554,Milk,{12;6},{2;3;4;7}
116,Amanda Lucasson,50,A+,874-50-0343,Tree nuts,{2;5},{4;7;5;2}
117,Liam Isabellason,27,O+,649-34-0152,Weeds,{5},{2;8;5}
118,Ethan Ethanson,19,O+,058-16-6962,Weeds,{7;8},{}
119,Sofia Chloeson,80,B-,805-18-0908,Tree nuts,{},{2}
120,Alex Masonson,96,O-,528-23-4387,Wheat,{},{4;6;7}
121,Emma Jacksonson,78,B-,923-49-2429,Mold,{6;7},{2;5}
122,Ava Chloeson,15,O-,803-82-8781,Weeds,{6;9},{5;4;8}
123,Noah Benson,62,A-,042-36-7316,Grass,{3;1;5},{2}
124,Ava Sofiason,61,O-,452-72-5920,Fish,{7;3;10},{}
125,Jackson Isabellason,10,O+,552-69-3069,Peanuts,{3},{}
126,Andrea Jackson,83,AB+,573-37-2715,Fish,{12},{8;7;1}
127,Chloe Avason,100,A+,909-54-0474,Tree nuts,{},{4;6;3;8}
128,Emma Noahson,58,A-,514-77-4509,Milk,{1;2;8},{3;8;4}
129,Jayden Aidenson,49,B+,990-89-1564,Wheat,{},{}
130,Ethan Oliviason,44,O-,011-29-9016,Grass,{2;4;7},{7;2}
131,Olivia Jacksonson,94,O-,288-52-8500,Shellfish,{3},{}
132,Lucas Carterson,35,O-,509-66-8450,Fish,{8;9},{8;6}
133,Jackson Camilleson,77,AB+,362-68-0954,Fish,{8;6;1},{}
134,Aiden Aidenson,86,A-,317-99-9210,Fish,{4;6;12},{3;2}
135,Chloe Ethanson,75,O+,963-08-7757,Fish,{2;12;13},{}
136,Olivia Sofiason,10,B-,658-26-6416,Peanuts,{},{3;6}
137,Ava Emilyson,99,AB-,867-11-0421,Eggs,{3;13},{6;4}
138,Jacob Liamson,41,A-,194-63-5976,Eggs,{12;9},{4;2}
139,Ben Victoriason,87,B+,841-81-4225,Milk,{8},{}
140,Jack Jacobson,15,B+,238-71-6019,Shellfish,{8},{}
141,Victoria Liamson,66,O-,566-61-8712,Grass,{7;3},{3;4;8;6}
142,Jacob Ethanson,13,B-,196-34-9341,Dust,{6;4},{2;6;5}
143,Carter Victoriason,77,O-,235-40-1728,Tree nuts,{},{5}
144,Jackson Aidenson,49,AB-,513-50-3272,Mold,{2;5;1},{}
145,Mason Alexson,97,B+,644-80-6335,Shellfish,{10},{7}
146,Emma Lucasson,55,B+,918-52-2603,Tree nuts,{3;11;7},{6}
147,Victoria Loganson,58,O+,085-22-3299,Eggs,{13;9;2},{5;8;6;7}
148,Logan Amandason,74,O-,499-63-4433,Milk,{},{3;2;1;4}
149,Jayden Jackson,70,A+,682-63-1597,Shellfish,{},{7;5;1;2}
150,Ava Victoriason,87,A-,730-67-9929,n/a,{6;11},{3;4;1;7}
151,Logan Loganson,66,A-,659-62-7546,Peanuts,{4},{}
152,Amanda Jackson,83,O-,894-52-4776,Dust,{11;13},{7;4;5;6}
153,Sofia Liamson,51,AB-,227-71-5694,n/a,{6},{}
154,Victoria Jacksonson,19,AB-,888-93-0062,Mold,{12},{8;2;3;7}
155,Ben Jacobson,68,AB-,577-40-9918,Eggs,{12},{5;4}
156,Jackson Mayason,27,AB+,274-04-2509,Grass,{5;13},{7;8;3}
157,Jack Chloeson,55,A+,302-88-8122,Weeds,{},{6}
158,Jacob Carterson,17,AB-,289-16-8932,Dust,{13},{5;2}
159,Sofia Jacobson,46,A-,271-81-9750,Mold,{13;5;2},{4;1;3;6}
160,Emma Loganson,56,O-,536-60-1901,Eggs,{},{3;1}
161,Logan Benson,77,B-,451-33-9087,Dust,{6},{}
162,Sofia Jacksonson,16,O+,183-07-3961,Dust,{5;9;1},{}
163,Jackson Sofiason,39,A+,336-57-1201,Tree nuts,{1},{8;6}
164,Camille Jacobson,57,O+,201-69-3172,Eggs,{12;2},{5;8;4;2}
165,Jacob Sofiason,14,A-,438-21-1690,Shellfish,{13;10;11},{8;3;7}
166,Ava Ethanson,30,B-,176-81-6554,Grass,{13;12},{5;1;6;3}
167,Logan Noahson,14,B+,329-97-8752,Weeds,{13},{1;4;3}
168,Ava Avason,52,B-,265-20-3605,Dust,{6},{6;3;2;8}
169,Ethan Oliviason,21,A+,831-43-5042,Milk,{7;11},{1;5}
170,Amanda Jacksonson,76,AB+,069-10-6099,n/a,{5;3;6},{}
171,Mason Lucasson,64,B+,160-98-0048,Milk,{},{8}
172,Ethan Camilleson,69,AB-,460-65-5777,Tree nuts,{4;10;11},{8;7}
173,Carter Jacksonson,71,A+,006-38-1717,Weeds,{5;2;11},{6}
174,Carter Masonson,31,O+,237-39-0553,Soy,{1;5},{8;4;1}
175,Jack Chloeson,44,O+,904-18-0999,Fish,{},{4}
176,Camille Victoriason,100,A+,814-64-3297,Peanuts,{3;5},{}
177,Noah Lucasson,31,A-,072-17-1294,Pollen,{11},{4;3}
178,Lucas Carterson,39,B+,460-98-3668,Mold,{3;5},{1;2;8;3}
179,Jacob Carterson,64,A+,064-80-1294,Soy,{6},{2;7;5}
180,Alex Sofiason,20,O+,739-95-0044,Dust,{11},{8;3;1}
181,Carter Ethanson,97,AB+,984-45-8705,Milk,{6;13;9},{8;4}
182,Emma Oliviason,69,B+,220-87-9623,Mold,{},{2;4}
183,Sofia Andreason,26,O-,753-78-0190,Soy,{13;9},{2;1}
184,Emily Noahson,14,B+,277-38-9876,Weeds,{},{}
185,Isabella Mayason,19,B-,841-72-9831,Grass,{},{4}
186,Logan Jacobson,39,O-,633-98-5405,Wheat,{},{4;1;7;6}
187,Mason Emilyson,89,O+,973-25-4514,Milk,{9;13;4},{3;7;1;4}
188,Ben Benson,15,AB-,302-94-5636,Soy,{10;13;3},{}
189,Chloe Victoriason,88,O+,787-48-8352,Wheat,{},{7;2}
190,Mason Amandason,29,B+,761-52-2162,Mold,{8},{8;5}
191,Jackson Masonson,101,AB-,528-86-3969,Grass,{},{}
192,Maya Oliviason,37,A-,197-15-4228,Weeds,{13},{}
193,Ben Carterson,22,A-,641-59-6760,Pollen,{2;5;10},{7;3;5;2}
194,Jayden Sofiason,71,B-,464-34-3335,Dust,{},{8;2;4;5}
195,Jacob Carterson,53,A-,501-45-3176,Fish,{4;6;10},{5;2;8;3}
196,Victoria Avason,96,B+,829-14-8421,Pollen,{6;10;8},{2;5;4}
197,Logan Andreason,66,B-,134-60-5382,Soy,{2;10;6},{8}
198,Liam Amandason,10,B-,076-90-3755,Mold,{5;8;13},{2;8;5;1}
199,Ben Loganson,37,A+,417-33-7046,n/a,{},{3}
200,Aiden Avason,59,O-,283-68-6281,Grass,{2;6},{5;6}
201,Jayden Noahson,86,O-,412-94-1369,Peanuts,{6},{5;7}
202,Noah Ethanson,10,AB-,974-22-5441,Milk,{2;5;12},{}
203,Isabella Andreason,85,A+,903-99-0827,Milk,{3;13;4},{8;7;6}
204,Liam Victoriason,81,B+,090-21-5980,Peanuts,{11},{6}
205,Ava Noahson,97,A+,481-40-3006,Grass,{10},{2;3;7}
206,Chloe Loganson,60,A-,135-08-4949,Pollen,{4;5;12},{7;1}
207,Chloe Noahson,41,AB-,064-59-9000,n/a,{10},{2;5}
208,Ava Aidenson,18,B-,935-37-1351,Dust,{4},{}
209,Jack Alexson,100,AB+,134-25-5622,Mold,{},{6;8;1}
210,Ben Andreason,59,O-,588-84-7499,Pollen,{7},{3}
211,Victoria Jacksonson,18,AB-,510-08-3895,n/a,{},{1;7;4;8}
212,Mason Oliviason,52,B-,438-90-4317,Fish,{10;11;8},{3;5}
213,Ava Loganson,82,O+,696-90-7555,Soy,{},{}
214,Logan Aidenson,30,O-,014-96-9255,Grass,{2;8;1},{8;2}
215,Emily Alexson,93,B-,227-66-4696,Wheat,{},{8;5}
216,Jayden Jacksonson,70,A-,744-46-8814,Peanuts,{8},{1;2;7}
217,Olivia Ethanson,20,AB-,746-12-9126,Grass,{},{7;1}
218,Carter Andreason,21,O-,268-08-1211,Eggs,{10;5;11},{}
219,Mason Alexson,89,B-,949-64-1461,Wheat,{12;8},{}
220,Logan Victoriason,80,A-,081-21-7187,Dust,{12;11;3},{3}
221,Maya Amandason,89,O-,039-77-0803,Dust,{7;11},{7;1}
222,Maya Victoriason,28,A+,873-04-6860,Mold,{10},{4;1}
223,Maya Jacksonson,66,A+,490-97-6119,Tree nuts,{6;3},{8}
224,Camille Carterson,41,B-,046-42-4476,Tree nuts,{12;7;11},{2;8;3}
225,Mason Chloeson,60,AB+,178-40-5392,Wheat,{},{1;6}
226,Aiden Mayason,64,B+,140-67-5736,Milk,{3;11;1},{1;3}
227,Carter Sofiason,18,O-,052-19-2286,Pollen,{3;1},{4}
228,Jacob Alexson,93,A+,316-65-5668,Milk,{9},{}
229,Ben Ethanson,82,O-,480-06-2437,Shellfish,{},{6;2;7}
230,Ethan Andreason,84,B-,697-77-7208,Dust,{3;5;10},{6;4;5}
231,Liam Alexson,34,B-,691-22-5623,Mold,{},{6;7}
232,Maya Benson,86,B-,655-44-4926,Pollen,{1;9;8},{8}
233,Liam Jacobson,41,AB-,023-88-4787,Shellfish,{1;12},{7;4;2}
234,Jayden Jacksonson,98,AB+,624-62-1645,Tree nuts,{},{7}
235,Logan Amandason,32,AB-,738-35-8460,Milk,{10;9},{}
236,Lucas Sofiason,54,B-,415-70-5734,Grass,{7;1;10},{3}
237,Olivia Jackson,33,O-,820-80-2200,Wheat,{9;10;7},{6;4;8}
238,Jayden Jacobson,41,B-,633-23-9867,Eggs,{8;13},{4;7;3}
239,Olivia Mayason,48,A+,460-51-1190,Soy,{},{5;8;3;2}
240,Chloe Noahson,62,B+,476-33-5463,Soy,{5},{6;3}
241,Camille Lucasson,37,A-,512-75-4152,Dust,{},{2;3}
242,Mason Ethanson,82,B+,124-04-5940,Pollen,{11;5},{2}
243,Jacob Ethanson,11,A+,631-21-3002,Fish,{},{8;6}
244,Noah Camilleson,33,AB+,643-96-2832,Grass,{5},{}
245,Mason Chloeson,85,A-,449-22-1750,Soy,{},{3;6}
246,Jack Benson,10,B+,467-39-2258,Eggs,{12;13},{4}
247,Ava Masonson,88,O-,625-95-5100,Pollen,{2;11},{2}
248,Isabella Jacksonson,43,A-,910-61-8764,Fish,{8;5},{7}
249,Emma Liamson,69,O+,515-55-9555,Pollen,{},{2;5;1;3}
250,Mason Masonson,84,AB-,224-50-4249,n/a,{},{3;6}
251,Mason Masonson,58,O+,846-72-6869,Milk,{10;12;8},{7;6}
252,Liam Victoriason,81,O-,028-15-9000,Pollen,{},{}
253,Liam Jackson,39,AB+,918-94-3645,Milk,{},{6}
254,Ethan Benson,45,AB+,181-59-6078,Grass,{},{}
255,Aiden Sofiason,38,A+,841-77-8128,Weeds,{3;2},{5;7;4;8}
256,Aiden Oliviason,28,AB+,773-33-5265,Mold,{},{5;8;1;7}
257,Emily Jaydenson,54,AB+,651-30-6732,Eggs,{6;11},{6;2;7;4}
258,Liam Carterson,21,B+,120-08-1168,Dust,{},{5}
259,Sofia Lucasson,30,O+,285-94-3738,Shellfish,{},{6}
260,Ava Liamson,76,O+,403-66-3393,Soy,{},{5;7;2;8}
261,Jayden Ethanson,44,AB-,913-75-4701,Soy,{10;5},{4}
262,Ethan Alexson,53,O-,584-21-3597,Fish,{},{}
263,Aiden Noahson,67,AB-,263-08-7572,Weeds,{2;4;12},{1;7;2}
264,Victoria Andreason,40,AB-,105-58-8412,Soy,{13;8},{}
265,Alex Victoriason,76,B-,954-86-6246,Shellfish,{},{5;6;2}
266,Jayden Andreason,48,AB-,755-97-5383,Pollen,{3;6;9},{8;5;7}
267,Emily Jackson,58,AB+,207-82-2084,Weeds,{3;10;7},{5;7;8;4}
268,Ben Avason,43,B-,460-88-9288,Soy,{},{}
269,Liam Jacobson,50,O+,414-26-1034,Wheat,{11;4;9},{8}
270,Olivia Amandason,90,B+,352-35-3240,n/a,{},{}
271,Emily Isabellason,99,O-,369-43-0707,n/a,{3;9},{}
272,Noah Noahson,66,AB-,240-16-6534,Fish,{3;7},{6;7}
273,Noah Amandason,84,AB+,525-41-0004,Grass,{},{2;4}
274,Jacob Jaydenson,84,A+,189-64-4289,Peanuts,{3},{4;7;1;2}
275,Maya Emilyson,21,A-,012-67-1050,Fish,{1;12},{2;1}
276,Amanda Emilyson,33,AB-,850-27-7574,Shellfish,{8;4;2},{4;8;7;2}
277,Ben Noahson,78,A+,056-42-3733,n/a,{4},{2}
278,Jayden Loganson,100,B+,703-79-1151,Fish,{7;5},{2;4;3}
279,Amanda Avason,79,B+,467-49-3860,Wheat,{5;7;8},{2;1}
280,Liam Jacobson,11,A-,279-70-0385,Mold,{8},{}
281,Isabella Chloeson,40,A+,983-25-4993,Wheat,{},{}
282,Noah Carterson,19,B+,201-76-8754,Weeds,{10;7;9},{3}
283,Logan Amandason,91,AB+,233-25-9741,Milk,{},{7;6;2}
284,Liam Emilyson,83,O+,185-97-4835,Soy,{},{}
285,Lucas Isabellason,38,O+,927-35-2584,Pollen,{},{5;3}
286,Jackson Mayason,89,B+,727-73-8985,Weeds,{},{8;7;1;2}
287,Emma Jacksonson,47,AB-,901-75-4965,n/a,{11;9},{5}
288,Chloe Liamson,23,B+,395-61-6181,Soy,{13;5;6},{5;8;4;3}
289,Carter Liamson,52,B+,008-38-3909,Soy,{},{}
290,Alex Jackson,64,AB+,124-94-8366,Eggs,{12;3},{1}
291,Victoria Jaydenson,51,O-,034-34-5253,Dust,{},{1;3;8;6}
292,Logan Jaydenson,70,AB+,642-01-8184,Fish,{5;11;6},{2}
293,Isabella Victoriason,63,AB+,502-77-4688,Weeds,{9;1;12},{}
294,Amanda Masonson,87,A-,120-07-8366,Shellfish,{10},{5}
295,Chloe Amandason,53,AB+,089-08-6541,Wheat,{2},{6;2;1}
296,Jayden Benson,89,B-,501-92-0607,Shellfish,{},{2;4;1;6}
297,Jack Jaydenson,61,B-,603-64-6606,Dust,{2},{}
298,Camille Jacobson,98,A+,556-88-6796,Mold,{},{8}
299,Victoria Benson,81,AB-,392-94-1468,n/a,{6;9},{8}
300,Jacob Sofiason,10,B-,798-73-2524,Pollen,{5;7},{7}
301,Camille Lucasson,90,O-,711-50-5360,Mold,{4;8},{8;4}
302,Andrea Lucasson,85,B-,010-02-5301,Soy,{13;1;11},{1}
303,Jack Jacobson,30,A-,815-01-8676,Weeds,{9;12},{4;1}
304,Mason Victoriason,86,A-,403-65-6963,Milk,{4;9;5},{6;5;1;7}
305,Logan Masonson,46,AB-,608-01-5577,Wheat,{},{2;7}
306,Jackson Aidenson,11,AB+,915-98-3082,Fish,{},{3;2}
307,Logan Sofiason,64,O-,599-62-6954,Mold,{7;4},{5;8}
308,Jacob Benson,16,AB+,674-07-1163,Soy,{3},{}
309,Olivia Amandason,76,A+,929-21-5940,Peanuts,{},{}
310,Maya Sofiason,58,AB+,776-76-9114,Fish,{1;4},{}
311,Olivia Jacksonson,43,B-,461-88-5030,Eggs,{2;13},{4;8}
312,Chloe Avason,77,A+,090-54-4046,Peanuts,{3},{2;3;1;7}
313,Jayden Alexson,26,B+,491-36-7796,Fish,{2},{8;6}
314,Emma Ethanson,13,A-,610-24-0324,Mold,{6;11;3},{4;8;2}
315,Sofia Loganson,50,O+,483-33-4665,Milk,{8;9},{5;3;6;7}
316,Aiden Oliviason,78,A+,216-50-9093,Tree nuts,{3},{8;4}
317,Chloe Ethanson,74,A+,664-70-8337,Pollen,{10},{6}
318,Olivia Isabellason,99,B+,652-42-2780,Peanuts,{5;1;13},{4}
319,Ava Mayason,47,A+,782-03-2666,Dust,{},{}
320,Camille Amandason,48,O-,644-25-4186,Wheat,{1;13},{7;2;5}
321,Jack Ethanson,55,B-,302-01-3319,Shellfish,{9;7},{}
322,Emily Liamson,27,O+,207-10-3181,Soy,{},{1;2}
323,Ben Mayason,60,A-,685-82-1179,Milk,{13;11;4},{7;1;5;6}
324,Alex Liamson,78,A-,520-26-2385,Soy,{8;12;11},{7;2}
325,Lucas Victoriason,69,O-,089-96-7062,Peanuts,{8;1;6},{7;1;2;5}
326,Victoria Benson,51,B-,961-82-9636,Wheat,{1;6},{7;3}
327,Emily Andreason,56,AB-,361-98-3336,n/a,{5;4},{5}
328,Carter Jacobson,21,O-,403-63-5327,Eggs,{11},{3;5;8;1}
329,Sofia Liamson,81,B+,849-49-4982,n/a,{3;5;13},{8}
330,Isabella Liamson,91,AB+,541-91-1130,Wheat,{2;10},{7}
331,Jackson Carterson,68,O-,933-33-9498,Shellfish,{6},{}
332,Liam Jackson,40,AB+,311-24-5512,Peanuts,{9;13;3},{3;1}
333,Emma Benson,10,A+,740-80-4969,Eggs,{2;5;8},{5;2}
334,Aiden Isabellason,33,O-,074-52-4666,Grass,{12;8},{}
335,Ava Emilyson,90,A-,846-11-5479,Peanuts,{4;12;1},{5;7;3}
336,Amanda Mayason,70,A+,118-71-7157,n/a,{5;3},{2;7}
337,Jacob Benson,94,B-,541-41-8391,Grass,{9;8},{8;2;3}
338,Ethan Loganson,72,A+,616-78-4239,Shellfish,{13;5;7},{3}
339,Emma Noahson,20,O-,442-01-0466,Mold,{5;1;8},{1}
340,Noah Emilyson,19,O+,969-78-2500,Wheat,{2;12},{1;5;7}
341,Emma Benson,55,O-,257-36-0058,n/a,{1;11},{7;8;3}
342,Liam Emilyson,69,A+,870-79-3620,Weeds,{},{3}
343,Jackson Mayason,40,B+,497-58-9646,Grass,{},{3}
344,Emily Jaydenson,93,A-,114-45-4085,Tree nuts,{7;8},{6;7}
345,Andrea Chloeson,23,AB-,882-45-7667,Wheat,{2;11},{5;2;3;6}
346,Emily Aidenson,86,A+,052-76-0655,Grass,{13},{3}
347,Noah Avason,41,B-,699-48-8002,Dust,{7},{7;2}
348,Victoria Masonson,100,AB-,178-01-5834,Soy,{5;11},{1;3;7}
349,Jack Jacksonson,66,O+,255-68-5279,Eggs,{12;10;2},{8;7;3;2}
350,Isabella Jacobson,87,AB+,294-36-6351,Milk,{},{}
351,Jacob Oliviason,52,O+,025-42-5959,Grass,{4;2;8},{5;7;4}
352,Jacob Jaydenson,84,O-,417-29-0019,Milk,{5;13;2},{7}
353,Alex Andreason,12,B-,194-28-5552,Pollen,{10},{8;4;6}
354,Ava Victoriason,89,A+,557-55-6481,Milk,{},{}
355,Aiden Avason,31,O-,099-86-9252,Soy,{11;6;5},{6;4;5}
356,Camille Emmason,62,O-,735-49-2642,Pollen,{},{3;7;8;5}
357,Jayden Masonson,42,O-,339-93-2326,Milk,{},{8}
358,Victoria Loganson,89,A+,749-76-2884,Tree nuts,{11},{7}
359,Camille Amandason,56,O+,731-47-9666,Weeds,{},{4;8;6;2}
360,Victoria Victoriason,29,A+,942-75-2676,Mold,{},{1;4;7}
361,Mason Jaydenson,100,A+,957-69-3850,Eggs,{5;8;7},{4;1;6}
362,Maya Andreason,44,B+,199-98-0473,Shellfish,{},{6}
363,Jackson Benson,14,AB-,704-90-6590,Peanuts,{7;4;2},{6;5;4;1}
364,Chloe Lucasson,17,A+,434-34-6203,Soy,{},{5;4;3}
